Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,355451,66863,7.4,1인 가구,뷰티/화장품,오프라인 매장,20.7,213,10.3,76,81,75,안전
2023_2Q,361789,19524,9.8,30~40대 주부,스낵/제과,자사몰(온라인),39.3,261,9.5,70,78,71,주의
2023_3Q,406913,26726,29.5,1인 가구,스낵/제과,자사몰(온라인),27.4,295,16.5,78,81,65,주의
2023_4Q,375116,30909,14.1,1인 가구,음료/주류,종합 오픈마켓,26.2,218,22.4,51,85,87,주의
2024_1Q,522683,69411,12.4,20~30대 여성,스낵/제과,자사몰(온라인),28.2,187,5.8,18,65,46,주의
2024_2Q,488069,77938,6.1,1인 가구,가정간편식(HMR),오프라인 매장,14.2,123,17.1,54,69,59,위험
2024_3Q,457815,63467,10.1,30~40대 주부,스낵/제과,오프라인 매장,6.2,246,21.9,64,82,95,주의
2024_4Q,398470,55374,43.8,30~40대 주부,스낵/제과,B2B/기관 영업,27.1,302,14.0,73,96,59,안전
2025_1Q,458601,43762,8.6,1인 가구,음료/주류,B2B/기관 영업,14.1,85,2.0,22,79,62,주의
2025_2Q,461082,86477,24.7,1인 가구,음료/주류,오프라인 매장,31.8,198,20.3,75,78,63,위험
2025_3Q,501950,68978,15.0,30~40대 주부,뷰티/화장품,B2B/기관 영업,12.7,296,16.4,71,65,88,위험
2025_4Q,486075,91763,15.9,30~40대 주부,음료/주류,B2B/기관 영업,11.6,173,5.1,19,64,80,주의
