Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,61093,6334,39.1,B2B 기업고객,메모리 반도체,B2B/기관 영업,13.5,274,9.7,68,89,94,안전
2023_2Q,55947,6767,15.3,20~40대 남성,메모리 반도체,오프라인 매장,23.1,123,7.6,57,72,71,안전
2023_3Q,52339,7600,33.5,20~40대 남성,스마트폰,오프라인 매장,15.3,204,9.0,79,85,63,안전
2023_4Q,58706,7931,34.8,20~40대 남성,메모리 반도체,B2B/기관 영업,14.5,198,4.8,29,76,60,안전
2024_1Q,56777,11493,12.4,B2B 기업고객,웨어러블 기기,종합 오픈마켓,30.4,224,24.6,29,93,58,위험
2024_2Q,48930,2584,26.4,20~40대 남성,스마트폰,오프라인 매장,24.4,331,4.4,6,68,76,주의
2024_3Q,53834,6360,43.6,20~40대 남성,웨어러블 기기,오프라인 매장,33.8,331,3.7,85,85,83,주의
2024_4Q,45678,7425,17.2,B2B 기업고객,스마트폰,B2B/기관 영업,26.2,347,10.7,61,74,59,안전
2025_1Q,64322,7144,29.8,30~50대 직장인,스마트폰,자사몰(온라인),26.9,121,5.6,27,76,75,안전
2025_2Q,43903,6150,28.8,20~40대 남성,스마트폰,자사몰(온라인),15.1,312,3.6,34,78,56,안전
2025_3Q,58032,10575,42.3,20~40대 남성,스마트폰,자사몰(온라인),27.7,152,3.6,26,77,90,안전
2025_4Q,59781,9794,16.5,B2B 기업고객,웨어러블 기기,종합 오픈마켓,29.5,336,14.4,61,77,45,안전
