Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,37553,9029,31.1,30~50대 남성,SUV/레저용,자사몰(온라인),36.5,286,17.2,22,98,86,위험
2023_2Q,33956,3705,41.3,20~30대 사회초년생,차량용 부품,오프라인 매장,25.4,177,9.9,33,96,83,안전
2023_3Q,38019,8793,31.9,40~60대 가족단위,세단,자사몰(온라인),34.4,172,8.8,65,95,48,주의
2023_4Q,39040,6316,41.5,40~60대 가족단위,세단,오프라인 매장,12.8,237,11.7,47,74,63,안전
2024_1Q,33159,7303,23.8,40~60대 가족단위,친환경 전기차,B2B/기관 영업,36.1,141,22.0,53,92,73,위험
2024_2Q,29896,6602,10.5,30~50대 남성,세단,B2B/기관 영업,39.6,153,9.3,28,89,89,주의
2024_3Q,31938,7899,17.5,30~50대 남성,친환경 전기차,B2B/기관 영업,14.6,161,13.3,16,70,48,안전
2024_4Q,36476,4766,43.6,20~30대 사회초년생,친환경 전기차,오프라인 매장,23.7,87,22.5,72,83,52,위험
2025_1Q,27596,5428,14.1,20~30대 사회초년생,세단,자사몰(온라인),8.6,236,5.8,10,92,59,안전
2025_2Q,35120,5410,26.0,20~30대 사회초년생,SUV/레저용,종합 오픈마켓,39.9,263,19.3,26,91,91,위험
2025_3Q,32428,6337,10.2,40~60대 가족단위,친환경 전기차,자사몰(온라인),9.3,272,22.2,37,62,89,위험
2025_4Q,30822,7672,31.5,40~60대 가족단위,친환경 전기차,오프라인 매장,29.1,307,10.7,75,86,56,안전
