Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,86995,16892,24.8,20~30대 직장인,콘서트 티켓,B2B/기관 영업,8.7,83,23.8,47,79,93,위험
2023_2Q,85932,9960,18.4,20~30대 직장인,콘서트 티켓,종합 오픈마켓,16.2,325,9.2,55,72,60,안전
2023_3Q,82026,12156,28.0,10~20대 여성,영상 콘텐츠(드라마),B2B/기관 영업,14.8,266,4.6,77,85,52,안전
2023_4Q,80212,14946,27.0,20~30대 직장인,팬클럽 구독,자사몰(온라인),20.3,115,20.8,57,78,83,위험
2024_1Q,83808,8247,31.3,20~30대 직장인,팬클럽 구독,B2B/기관 영업,7.6,325,15.4,73,98,72,주의
2024_2Q,96600,12911,6.5,10~30대 글로벌 팬덤,앨범/굿즈,오프라인 매장,31.9,165,16.9,10,82,76,위험
2024_3Q,98055,12739,35.1,10~30대 글로벌 팬덤,앨범/굿즈,오프라인 매장,8.5,341,19.2,76,74,77,주의
2024_4Q,86941,10852,23.5,20~30대 직장인,콘서트 티켓,종합 오픈마켓,39.9,133,8.8,15,90,47,주의
2025_1Q,109665,13123,18.7,10~20대 여성,팬클럽 구독,종합 오픈마켓,21.7,311,9.3,43,88,42,안전
2025_2Q,93196,20487,30.9,20~30대 직장인,콘서트 티켓,자사몰(온라인),23.1,161,9.6,59,95,69,안전
2025_3Q,101758,8841,30.6,10~30대 글로벌 팬덤,팬클럽 구독,오프라인 매장,30.8,310,15.6,54,72,40,위험
2025_4Q,98538,19753,37.3,10~20대 여성,앨범/굿즈,자사몰(온라인),17.8,314,4.6,67,72,73,안전
