Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,108732,26382,30.5,고자산가 그룹,주택담보대출,B2B/기관 영업,38.3,107,20.8,63,83,61,위험
2023_2Q,105272,15225,31.3,고자산가 그룹,투자/자산관리,오프라인 매장,8.4,81,9.9,42,74,75,주의
2023_3Q,110046,6509,11.6,30~50대 직장인,투자/자산관리,오프라인 매장,13.9,176,4.8,55,72,53,안전
2023_4Q,113896,22022,9.3,20~30대 청년층,예적금 상품,오프라인 매장,32.0,314,17.1,69,88,48,위험
2024_1Q,92823,18308,27.1,20~30대 청년층,투자/자산관리,자사몰(온라인),29.2,145,4.4,81,71,78,안전
2024_2Q,119136,15122,44.2,고자산가 그룹,주택담보대출,종합 오픈마켓,18.9,230,12.4,22,81,48,안전
2024_3Q,127559,25471,17.0,고자산가 그룹,신용카드,자사몰(온라인),12.0,256,23.2,21,78,85,주의
2024_4Q,142856,21539,32.8,20~30대 청년층,예적금 상품,종합 오픈마켓,24.7,293,17.5,73,97,58,주의
2025_1Q,127955,6724,9.3,20~30대 청년층,주택담보대출,오프라인 매장,28.5,216,19.3,25,72,58,주의
2025_2Q,120058,7492,36.4,30~50대 직장인,예적금 상품,종합 오픈마켓,33.5,194,19.1,76,66,64,위험
2025_3Q,146934,30821,16.5,고자산가 그룹,예적금 상품,B2B/기관 영업,18.6,107,2.3,37,80,52,주의
2025_4Q,151281,33890,38.2,고자산가 그룹,신용카드,자사몰(온라인),32.2,230,12.3,14,72,51,주의
