Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,280031,56703,29.5,1인 가구,스낵/제과,자사몰(온라인),13.1,263,3.8,66,61,48,주의
2023_2Q,330006,63494,20.0,1인 가구,뷰티/화장품,B2B/기관 영업,9.8,195,2.7,6,72,57,안전
2023_3Q,309635,57055,13.1,20~30대 여성,가정간편식(HMR),자사몰(온라인),37.4,330,17.8,63,88,55,위험
2023_4Q,376388,64582,38.0,30~40대 주부,음료/주류,B2B/기관 영업,26.4,348,16.8,9,96,73,주의
2024_1Q,326757,73701,40.1,20~30대 여성,뷰티/화장품,오프라인 매장,24.5,105,6.4,61,93,65,주의
2024_2Q,386189,41392,11.7,1인 가구,가정간편식(HMR),자사몰(온라인),21.2,126,18.6,19,88,51,주의
2024_3Q,426788,80758,10.4,1인 가구,음료/주류,B2B/기관 영업,5.9,183,22.3,16,89,56,주의
2024_4Q,387045,74426,11.6,30~40대 주부,가정간편식(HMR),오프라인 매장,9.0,265,4.0,54,88,86,안전
2025_1Q,389364,93428,20.1,1인 가구,가정간편식(HMR),자사몰(온라인),36.9,156,5.7,23,96,51,주의
2025_2Q,344818,38485,34.2,1인 가구,음료/주류,자사몰(온라인),9.1,183,2.1,37,68,40,주의
2025_3Q,461019,73163,5.2,1인 가구,스낵/제과,자사몰(온라인),25.6,312,11.4,15,90,78,안전
2025_4Q,385800,61522,29.8,30~40대 주부,스낵/제과,오프라인 매장,11.5,258,2.8,9,63,82,주의
