Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,472241,31895,9.4,B2B 기업고객,석유/정유,종합 오픈마켓,26.4,170,24.2,79,98,63,주의
2023_2Q,462194,50776,19.7,정부 및 공공기관,2차전지 배터리,B2B/기관 영업,34.5,229,12.8,20,64,84,위험
2023_3Q,536663,71242,13.4,B2B 기업고객,2차전지 배터리,오프라인 매장,25.0,124,13.1,82,93,90,안전
2023_4Q,569821,97877,17.7,해외 수출시장,친환경 플라스틱,자사몰(온라인),26.5,346,18.8,68,91,71,주의
2024_1Q,733224,70788,16.6,B2B 기업고객,2차전지 배터리,오프라인 매장,5.8,186,20.4,58,67,66,위험
2024_2Q,587896,124168,13.5,해외 수출시장,석유/정유,종합 오픈마켓,13.9,237,8.9,75,64,60,주의
2024_3Q,564742,65880,20.8,해외 수출시장,2차전지 배터리,자사몰(온라인),11.8,325,23.1,9,81,81,주의
2024_4Q,555401,78935,39.6,정부 및 공공기관,태양광 패널,B2B/기관 영업,37.5,346,8.9,45,63,75,위험
2025_1Q,577912,108126,37.0,정부 및 공공기관,2차전지 배터리,자사몰(온라인),14.8,253,24.6,85,61,74,위험
2025_2Q,696532,89095,28.8,정부 및 공공기관,친환경 플라스틱,오프라인 매장,14.5,334,22.2,52,65,68,위험
2025_3Q,670893,104001,12.0,정부 및 공공기관,2차전지 배터리,자사몰(온라인),37.0,339,2.6,66,88,72,주의
2025_4Q,659718,96776,40.0,정부 및 공공기관,친환경 플라스틱,자사몰(온라인),31.9,344,17.6,21,66,53,위험
