Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,119476,13944,10.2,20~40대 남성,프리미엄 가전,B2B/기관 영업,24.3,84,4.6,24,87,74,주의
2023_2Q,129058,20714,22.2,B2B 기업고객,메모리 반도체,종합 오픈마켓,36.5,263,6.8,36,62,82,위험
2023_3Q,142590,32343,21.3,30~50대 직장인,프리미엄 가전,자사몰(온라인),35.3,291,2.6,47,71,90,주의
2023_4Q,153767,34261,37.4,20~40대 남성,프리미엄 가전,오프라인 매장,18.4,320,7.1,63,62,62,주의
2024_1Q,151853,14504,5.9,B2B 기업고객,웨어러블 기기,종합 오픈마켓,14.8,222,10.1,70,64,65,주의
2024_2Q,160038,18601,6.1,20~40대 남성,프리미엄 가전,종합 오픈마켓,6.3,302,10.0,45,98,67,안전
2024_3Q,147930,18792,28.1,20~40대 남성,스마트폰,B2B/기관 영업,5.1,180,10.4,13,94,82,안전
2024_4Q,164255,30005,10.0,20~40대 남성,메모리 반도체,B2B/기관 영업,16.4,145,6.4,53,78,83,안전
2025_1Q,146701,24032,21.2,B2B 기업고객,메모리 반도체,종합 오픈마켓,12.4,244,12.7,61,97,83,안전
2025_2Q,159928,36821,36.8,B2B 기업고객,스마트폰,종합 오픈마켓,23.0,127,20.8,35,81,83,주의
2025_3Q,176582,14033,6.8,20~40대 남성,스마트폰,B2B/기관 영업,19.5,179,18.5,54,96,71,주의
2025_4Q,140887,26419,40.7,B2B 기업고객,웨어러블 기기,자사몰(온라인),11.2,317,3.2,36,93,94,안전
