Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,94741,20798,39.1,B2B 기업고객,친환경 플라스틱,오프라인 매장,5.0,263,4.5,41,95,95,안전
2023_2Q,87967,14781,30.0,해외 수출시장,태양광 패널,B2B/기관 영업,18.4,188,17.2,65,94,48,주의
2023_3Q,84309,19803,38.6,B2B 기업고객,친환경 플라스틱,자사몰(온라인),9.7,88,5.3,67,64,82,위험
2023_4Q,103153,6904,30.7,정부 및 공공기관,태양광 패널,B2B/기관 영업,26.8,340,11.8,62,89,64,안전
2024_1Q,78580,13430,28.1,해외 수출시장,석유/정유,종합 오픈마켓,19.4,267,2.8,9,94,76,안전
2024_2Q,85152,14139,43.5,B2B 기업고객,석유/정유,종합 오픈마켓,21.3,347,22.5,16,65,55,위험
2024_3Q,97612,23630,8.1,해외 수출시장,친환경 플라스틱,오프라인 매장,36.6,85,12.8,70,94,70,위험
2024_4Q,87075,10499,44.1,정부 및 공공기관,친환경 플라스틱,자사몰(온라인),6.2,235,18.7,77,98,56,주의
2025_1Q,87696,7350,7.1,정부 및 공공기관,2차전지 배터리,종합 오픈마켓,22.0,338,3.8,40,68,56,주의
2025_2Q,79204,17549,5.6,B2B 기업고객,석유/정유,자사몰(온라인),28.1,169,8.0,35,83,71,안전
2025_3Q,84118,4762,44.4,B2B 기업고객,석유/정유,B2B/기관 영업,31.3,276,7.5,61,86,86,주의
2025_4Q,77579,15273,18.8,해외 수출시장,친환경 플라스틱,오프라인 매장,6.8,284,13.0,65,89,87,안전
