Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,74900,16855,35.6,50~70대 노년층,백신/치료제,오프라인 매장,13.4,131,15.7,62,64,78,위험
2023_2Q,97998,9696,6.8,40~60대 장년층,건강기능식품,자사몰(온라인),31.4,151,13.6,42,63,54,위험
2023_3Q,99079,11273,28.9,의료기관,의료기기,자사몰(온라인),15.6,346,7.1,43,69,57,주의
2023_4Q,101427,22916,41.5,의료기관,백신/치료제,B2B/기관 영업,6.6,275,20.1,45,82,84,주의
2024_1Q,77739,9740,35.2,40~60대 장년층,건강기능식품,자사몰(온라인),15.5,317,23.0,76,69,66,위험
2024_2Q,96871,7441,14.7,50~70대 노년층,의료기기,오프라인 매장,37.3,127,14.3,29,83,43,주의
2024_3Q,99127,16909,39.9,50~70대 노년층,건강기능식품,B2B/기관 영업,12.3,235,24.0,6,81,53,주의
2024_4Q,116124,8530,45.0,40~60대 장년층,건강기능식품,자사몰(온라인),18.9,244,19.8,53,75,69,주의
2025_1Q,97328,9957,25.5,40~60대 장년층,백신/치료제,오프라인 매장,33.1,243,23.0,52,90,60,위험
2025_2Q,104822,9879,10.8,40~60대 장년층,백신/치료제,종합 오픈마켓,10.3,197,10.7,36,81,71,안전
2025_3Q,120722,14186,35.5,40~60대 장년층,백신/치료제,B2B/기관 영업,10.9,166,5.2,74,82,71,안전
2025_4Q,115687,28697,43.3,의료기관,전문의약품,오프라인 매장,38.1,83,11.5,85,63,54,위험
