Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,148015,22863,5.2,B2B 기업고객,2차전지 배터리,종합 오픈마켓,21.3,132,14.0,44,62,41,주의
2023_2Q,132339,30229,17.8,B2B 기업고객,친환경 플라스틱,종합 오픈마켓,23.6,140,8.3,25,88,57,안전
2023_3Q,157795,25550,9.1,해외 수출시장,친환경 플라스틱,종합 오픈마켓,14.5,205,5.9,44,78,79,안전
2023_4Q,147461,8869,6.2,해외 수출시장,2차전지 배터리,오프라인 매장,18.4,298,11.0,81,65,77,주의
2024_1Q,159818,22241,19.2,정부 및 공공기관,석유/정유,오프라인 매장,39.1,147,4.1,64,89,46,주의
2024_2Q,160999,30918,23.6,B2B 기업고객,석유/정유,자사몰(온라인),35.1,266,11.0,47,76,90,주의
2024_3Q,151210,22303,7.6,B2B 기업고객,친환경 플라스틱,B2B/기관 영업,21.1,224,19.7,82,70,76,주의
2024_4Q,134379,28691,36.9,정부 및 공공기관,2차전지 배터리,종합 오픈마켓,23.6,291,7.5,36,85,75,안전
2025_1Q,149989,9481,13.3,해외 수출시장,태양광 패널,B2B/기관 영업,24.9,200,6.0,14,81,87,안전
2025_2Q,165706,24412,28.7,정부 및 공공기관,친환경 플라스틱,오프라인 매장,33.8,237,24.0,13,71,78,위험
2025_3Q,172526,35241,20.2,정부 및 공공기관,2차전지 배터리,오프라인 매장,12.6,80,19.4,24,68,68,위험
2025_4Q,152820,25304,12.8,해외 수출시장,친환경 플라스틱,종합 오픈마켓,25.0,302,18.5,49,79,45,주의
