Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,274730,51641,33.5,20~40대 남성,메모리 반도체,B2B/기관 영업,36.5,141,7.7,13,88,61,주의
2023_2Q,245192,41115,5.3,30~50대 직장인,스마트폰,자사몰(온라인),7.4,249,3.6,35,62,57,주의
2023_3Q,225298,17226,42.4,30~50대 직장인,웨어러블 기기,자사몰(온라인),32.5,177,4.2,60,86,62,주의
2023_4Q,248097,48581,31.9,30~50대 직장인,스마트폰,오프라인 매장,19.1,135,7.7,29,81,74,안전
2024_1Q,246261,26032,15.0,B2B 기업고객,웨어러블 기기,오프라인 매장,6.8,87,24.3,35,94,50,위험
2024_2Q,252111,56203,41.1,B2B 기업고객,웨어러블 기기,오프라인 매장,39.5,312,8.6,76,76,82,주의
2024_3Q,233530,25534,43.7,30~50대 직장인,스마트폰,종합 오픈마켓,7.0,324,13.6,72,97,50,안전
2024_4Q,254133,55977,7.7,B2B 기업고객,프리미엄 가전,B2B/기관 영업,9.2,206,15.3,10,96,79,주의
2025_1Q,256567,41832,17.7,20~40대 남성,프리미엄 가전,종합 오픈마켓,13.4,147,17.4,43,85,69,주의
2025_2Q,262070,16905,23.3,30~50대 직장인,스마트폰,오프라인 매장,23.8,215,5.0,49,92,44,안전
2025_3Q,245391,20011,38.3,30~50대 직장인,메모리 반도체,오프라인 매장,28.4,233,23.4,18,95,48,주의
2025_4Q,286466,56858,11.2,20~40대 남성,프리미엄 가전,종합 오픈마켓,12.1,338,13.2,11,76,45,안전
