Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,299237,51092,6.0,10~20대 학생,클라우드 서비스,종합 오픈마켓,25.2,320,13.9,61,71,57,안전
2023_2Q,277593,49122,24.7,10~20대 학생,광고 플랫폼,종합 오픈마켓,19.3,133,21.7,47,80,66,주의
2023_3Q,260280,62216,37.5,전 연령층,클라우드 서비스,B2B/기관 영업,8.1,245,4.7,56,76,95,안전
2023_4Q,332864,60425,26.7,20~30대 직장인,클라우드 서비스,자사몰(온라인),23.1,306,19.5,31,91,57,주의
2024_1Q,333972,45962,32.9,10~20대 학생,클라우드 서비스,자사몰(온라인),29.8,87,14.7,16,79,54,주의
2024_2Q,358770,51049,9.7,10~20대 학생,광고 플랫폼,종합 오픈마켓,22.8,292,21.2,65,77,55,주의
2024_3Q,278873,24574,29.0,전 연령층,모바일 게임,오프라인 매장,14.7,254,23.5,69,86,57,주의
2024_4Q,310502,34065,28.5,전 연령층,광고 플랫폼,자사몰(온라인),20.6,256,9.6,74,90,64,안전
2025_1Q,317856,27885,32.9,전 연령층,광고 플랫폼,자사몰(온라인),35.0,102,9.3,65,86,85,위험
2025_2Q,347050,85958,36.7,전 연령층,모바일 게임,B2B/기관 영업,38.8,337,24.2,47,68,95,위험
2025_3Q,389395,27235,41.4,10~20대 학생,모바일 게임,B2B/기관 영업,35.5,118,12.8,38,69,61,위험
2025_4Q,346587,22896,18.1,전 연령층,광고 플랫폼,종합 오픈마켓,26.9,98,16.2,35,91,80,위험
