Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,521379,99199,15.2,1인 가구,스낵/제과,오프라인 매장,5.5,331,23.4,15,73,69,주의
2023_2Q,463076,74834,42.5,1인 가구,음료/주류,오프라인 매장,33.8,350,2.9,14,77,93,주의
2023_3Q,620923,150336,8.9,30~40대 주부,스낵/제과,B2B/기관 영업,11.6,207,15.1,27,93,75,주의
2023_4Q,548279,38984,30.5,1인 가구,뷰티/화장품,B2B/기관 영업,35.9,172,14.6,69,70,61,주의
2024_1Q,591432,100533,42.3,1인 가구,음료/주류,종합 오픈마켓,19.4,245,16.0,77,87,74,주의
2024_2Q,623559,146679,15.2,1인 가구,뷰티/화장품,B2B/기관 영업,5.0,225,15.7,71,62,48,위험
2024_3Q,575191,63309,13.9,1인 가구,가정간편식(HMR),종합 오픈마켓,37.2,159,4.2,63,92,62,주의
2024_4Q,550572,125489,15.0,1인 가구,음료/주류,오프라인 매장,25.0,191,18.9,46,96,90,주의
2025_1Q,603802,138756,33.1,20~30대 여성,음료/주류,오프라인 매장,30.6,275,3.8,12,96,89,주의
2025_2Q,680376,93116,42.2,20~30대 여성,스낵/제과,오프라인 매장,27.2,107,9.0,10,84,60,주의
2025_3Q,540910,81396,13.8,20~30대 여성,뷰티/화장품,B2B/기관 영업,31.3,338,4.1,60,96,58,주의
2025_4Q,568813,66684,24.0,30~40대 주부,가정간편식(HMR),B2B/기관 영업,14.2,336,12.0,21,85,88,안전
