Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,173056,33144,44.6,전 연령층,모바일 게임,종합 오픈마켓,18.0,278,11.4,48,78,83,안전
2023_2Q,231914,41619,7.6,10~20대 학생,광고 플랫폼,종합 오픈마켓,13.8,156,9.7,79,98,82,안전
2023_3Q,193913,47225,32.9,20~30대 직장인,모바일 게임,오프라인 매장,15.8,248,20.7,72,84,45,주의
2023_4Q,205813,25184,19.5,10~20대 학생,모바일 게임,종합 오픈마켓,38.2,178,7.2,22,91,49,주의
2024_1Q,226755,15924,35.8,전 연령층,클라우드 서비스,종합 오픈마켓,35.7,272,5.5,28,68,93,위험
2024_2Q,220011,50719,33.8,10~20대 학생,광고 플랫폼,종합 오픈마켓,28.7,307,16.0,62,75,54,주의
2024_3Q,201125,42583,23.8,10~20대 학생,구독형 솔루션,B2B/기관 영업,21.2,275,13.6,58,78,50,안전
2024_4Q,250582,19465,15.0,전 연령층,광고 플랫폼,종합 오픈마켓,24.4,344,21.6,41,66,45,위험
2025_1Q,219894,50808,10.9,20~30대 직장인,클라우드 서비스,자사몰(온라인),33.6,93,11.5,55,82,72,위험
2025_2Q,228804,15174,14.0,20~30대 직장인,클라우드 서비스,종합 오픈마켓,32.7,99,8.6,65,68,84,위험
2025_3Q,274137,39426,29.6,10~20대 학생,클라우드 서비스,종합 오픈마켓,12.5,350,11.7,41,69,55,주의
2025_4Q,210667,28222,36.8,20~30대 직장인,클라우드 서비스,오프라인 매장,34.3,88,16.5,78,91,55,위험
