Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,676245,140709,6.1,의료기관,의료기기,B2B/기관 영업,33.1,146,16.1,16,95,44,위험
2023_2Q,894109,173255,26.0,40~60대 장년층,전문의약품,자사몰(온라인),39.0,310,12.7,71,64,62,위험
2023_3Q,821322,131625,28.5,50~70대 노년층,백신/치료제,오프라인 매장,34.1,158,9.0,25,93,60,주의
2023_4Q,716999,171718,25.8,40~60대 장년층,전문의약품,종합 오픈마켓,11.9,220,4.9,43,95,79,안전
2024_1Q,807183,67583,42.7,50~70대 노년층,건강기능식품,종합 오픈마켓,34.5,101,21.0,8,96,45,위험
2024_2Q,808153,133631,31.0,의료기관,백신/치료제,오프라인 매장,22.4,228,16.8,43,94,70,주의
2024_3Q,836349,109744,23.1,의료기관,전문의약품,자사몰(온라인),20.4,317,6.7,82,90,49,안전
2024_4Q,805732,158600,39.4,40~60대 장년층,건강기능식품,종합 오픈마켓,23.0,243,7.6,20,66,57,주의
2025_1Q,663431,39886,42.8,의료기관,백신/치료제,자사몰(온라인),38.7,247,23.5,45,70,52,위험
2025_2Q,792893,121268,25.0,40~60대 장년층,백신/치료제,오프라인 매장,8.2,338,12.5,35,85,53,안전
2025_3Q,688429,73160,28.9,의료기관,백신/치료제,종합 오픈마켓,23.8,300,5.1,38,66,86,주의
2025_4Q,785045,46355,7.0,의료기관,건강기능식품,종합 오픈마켓,24.4,277,13.6,75,64,57,주의
