Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,135691,21198,27.4,20~40대 남성,웨어러블 기기,B2B/기관 영업,34.1,308,22.6,65,95,68,위험
2023_2Q,123449,21916,35.6,30~50대 직장인,웨어러블 기기,자사몰(온라인),14.6,226,7.4,47,64,60,주의
2023_3Q,123411,9893,20.3,B2B 기업고객,프리미엄 가전,오프라인 매장,19.5,318,11.6,31,81,93,안전
2023_4Q,164709,27476,32.8,30~50대 직장인,웨어러블 기기,B2B/기관 영업,5.2,232,19.3,58,82,74,주의
2024_1Q,153918,26266,13.8,B2B 기업고객,메모리 반도체,B2B/기관 영업,22.0,252,17.4,56,84,86,주의
2024_2Q,145567,10994,29.9,B2B 기업고객,웨어러블 기기,오프라인 매장,7.9,149,21.9,28,87,43,주의
2024_3Q,136286,19208,18.5,20~40대 남성,메모리 반도체,B2B/기관 영업,13.8,320,2.4,74,65,43,주의
2024_4Q,148394,26715,36.2,30~50대 직장인,스마트폰,오프라인 매장,38.2,90,16.3,35,72,48,위험
2025_1Q,137383,32910,23.6,20~40대 남성,메모리 반도체,자사몰(온라인),26.2,163,24.2,18,67,77,위험
2025_2Q,141147,26178,43.3,20~40대 남성,프리미엄 가전,오프라인 매장,25.7,132,18.0,43,75,94,주의
2025_3Q,173056,36211,27.6,B2B 기업고객,메모리 반도체,B2B/기관 영업,28.2,339,16.9,6,64,94,위험
2025_4Q,156903,21449,19.5,20~40대 남성,프리미엄 가전,B2B/기관 영업,11.2,218,16.2,73,93,89,주의
