Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,85709,8999,13.9,30~50대 직장인,스마트폰,오프라인 매장,25.7,95,4.2,34,62,72,위험
2023_2Q,107392,20748,33.1,20~40대 남성,프리미엄 가전,B2B/기관 영업,25.6,161,18.1,48,60,57,위험
2023_3Q,117991,13842,8.7,B2B 기업고객,메모리 반도체,종합 오픈마켓,26.1,315,14.3,53,62,45,주의
2023_4Q,116008,20151,39.5,30~50대 직장인,프리미엄 가전,오프라인 매장,6.6,228,24.7,34,74,95,주의
2024_1Q,92820,16441,19.6,20~40대 남성,메모리 반도체,자사몰(온라인),28.5,167,14.3,36,64,50,주의
2024_2Q,93479,21974,32.5,B2B 기업고객,메모리 반도체,오프라인 매장,13.0,241,11.2,13,62,53,주의
2024_3Q,110905,21469,13.5,20~40대 남성,웨어러블 기기,B2B/기관 영업,10.0,206,19.1,73,68,56,위험
2024_4Q,110751,18462,19.5,B2B 기업고객,웨어러블 기기,오프라인 매장,31.5,158,16.4,59,67,78,위험
2025_1Q,104388,26016,26.2,30~50대 직장인,스마트폰,오프라인 매장,28.9,216,19.7,48,94,47,주의
2025_2Q,94949,4809,33.9,30~50대 직장인,메모리 반도체,자사몰(온라인),22.8,232,21.4,69,66,78,위험
2025_3Q,100385,8262,43.1,30~50대 직장인,스마트폰,종합 오픈마켓,22.1,265,22.2,44,67,55,위험
2025_4Q,113411,27149,8.4,20~40대 남성,스마트폰,자사몰(온라인),9.5,164,8.1,82,90,67,안전
