Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,153693,18529,27.8,50~70대 노년층,전문의약품,종합 오픈마켓,7.4,339,20.1,69,93,75,주의
2023_2Q,198938,11679,20.5,40~60대 장년층,의료기기,오프라인 매장,17.5,256,7.5,85,64,46,주의
2023_3Q,200201,23324,6.8,의료기관,의료기기,자사몰(온라인),34.1,325,16.5,22,89,44,위험
2023_4Q,222583,12775,13.1,50~70대 노년층,전문의약품,종합 오픈마켓,37.7,283,24.7,74,92,70,위험
2024_1Q,206435,18211,19.3,50~70대 노년층,의료기기,종합 오픈마켓,9.4,303,22.5,61,83,64,주의
2024_2Q,168677,31781,19.7,의료기관,의료기기,오프라인 매장,30.4,300,15.9,28,65,74,위험
2024_3Q,161316,18645,16.8,40~60대 장년층,백신/치료제,자사몰(온라인),29.1,308,3.0,50,82,79,안전
2024_4Q,186016,45760,42.9,50~70대 노년층,백신/치료제,종합 오픈마켓,23.0,95,5.3,82,70,83,주의
2025_1Q,178259,11309,36.1,40~60대 장년층,의료기기,B2B/기관 영업,38.2,158,17.6,52,62,63,위험
2025_2Q,182702,14166,19.7,40~60대 장년층,의료기기,자사몰(온라인),38.6,175,13.5,54,61,75,위험
2025_3Q,225503,43027,13.6,의료기관,의료기기,B2B/기관 영업,12.0,117,12.4,61,68,45,위험
2025_4Q,252296,62396,31.7,의료기관,전문의약품,종합 오픈마켓,36.2,169,20.3,70,70,54,위험
