Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,52874,10486,34.6,10~20대 여성,앨범/굿즈,자사몰(온라인),29.6,334,23.9,71,70,73,주의
2023_2Q,63970,5334,10.1,10~30대 글로벌 팬덤,앨범/굿즈,오프라인 매장,16.7,219,14.0,38,87,85,안전
2023_3Q,66840,9974,25.4,10~20대 여성,팬클럽 구독,자사몰(온라인),17.9,132,22.6,19,76,54,주의
2023_4Q,55633,12335,5.5,10~20대 여성,팬클럽 구독,종합 오픈마켓,18.4,171,23.4,9,69,75,위험
2024_1Q,75826,13735,14.0,10~20대 여성,팬클럽 구독,종합 오픈마켓,14.5,270,4.7,11,64,51,주의
2024_2Q,69551,4116,21.0,10~30대 글로벌 팬덤,영상 콘텐츠(드라마),종합 오픈마켓,16.5,313,2.2,30,95,58,안전
2024_3Q,66050,11528,23.6,20~30대 직장인,팬클럽 구독,자사몰(온라인),30.6,205,5.5,57,94,41,주의
2024_4Q,65755,14328,40.1,10~30대 글로벌 팬덤,앨범/굿즈,B2B/기관 영업,34.7,133,6.7,35,79,66,주의
2025_1Q,59789,14910,33.5,10~20대 여성,앨범/굿즈,자사몰(온라인),36.4,291,18.1,52,93,69,위험
2025_2Q,65020,4493,10.3,10~30대 글로벌 팬덤,앨범/굿즈,오프라인 매장,20.2,201,8.7,45,68,91,주의
2025_3Q,84435,9731,23.1,10~20대 여성,앨범/굿즈,자사몰(온라인),9.8,135,5.6,26,97,68,안전
2025_4Q,74196,11662,43.6,10~20대 여성,팬클럽 구독,종합 오픈마켓,21.2,126,5.6,43,67,92,주의
