Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,58613,3406,16.2,20~30대 청년층,주택담보대출,자사몰(온라인),25.4,82,9.6,24,76,42,주의
2023_2Q,61389,3693,42.3,고자산가 그룹,신용카드,B2B/기관 영업,32.6,263,3.7,45,95,73,주의
2023_3Q,57044,3630,25.2,20~30대 청년층,투자/자산관리,오프라인 매장,17.2,249,9.6,42,73,53,안전
2023_4Q,71423,10354,27.5,고자산가 그룹,예적금 상품,오프라인 매장,28.4,203,22.8,83,88,79,주의
2024_1Q,56805,12902,20.3,30~50대 직장인,투자/자산관리,종합 오픈마켓,23.9,92,23.0,52,78,72,위험
2024_2Q,69736,4098,40.9,30~50대 직장인,신용카드,오프라인 매장,38.2,83,16.4,31,70,82,위험
2024_3Q,66138,12373,38.4,30~50대 직장인,투자/자산관리,오프라인 매장,31.1,92,12.6,47,69,42,위험
2024_4Q,59758,12480,27.3,고자산가 그룹,주택담보대출,종합 오픈마켓,19.3,287,12.0,7,88,64,안전
2025_1Q,74001,13193,29.7,고자산가 그룹,예적금 상품,오프라인 매장,17.5,134,8.7,43,92,78,안전
2025_2Q,76664,10544,20.8,고자산가 그룹,예적금 상품,B2B/기관 영업,10.5,149,19.2,74,74,58,주의
2025_3Q,66373,12309,41.6,고자산가 그룹,신용카드,오프라인 매장,24.4,152,4.8,5,95,76,안전
2025_4Q,78622,18821,17.2,고자산가 그룹,신용카드,자사몰(온라인),19.4,152,5.7,33,92,79,안전
