Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,159019,23598,17.8,20~30대 여성,가정간편식(HMR),오프라인 매장,11.5,224,8.2,61,66,86,주의
2023_2Q,121740,6445,13.7,1인 가구,음료/주류,B2B/기관 영업,39.9,96,9.6,23,89,43,위험
2023_3Q,134253,21297,12.3,1인 가구,뷰티/화장품,오프라인 매장,9.3,277,19.7,61,75,55,주의
2023_4Q,122549,17422,35.8,30~40대 주부,스낵/제과,B2B/기관 영업,18.6,245,5.6,10,79,87,안전
2024_1Q,157360,15840,30.5,20~30대 여성,음료/주류,오프라인 매장,35.2,137,7.4,60,73,60,주의
2024_2Q,163688,27325,20.8,20~30대 여성,가정간편식(HMR),오프라인 매장,25.3,159,10.5,16,90,55,안전
2024_3Q,124208,21578,42.2,30~40대 주부,가정간편식(HMR),오프라인 매장,17.4,134,4.9,34,69,60,주의
2024_4Q,170878,34404,37.2,1인 가구,스낵/제과,오프라인 매장,29.1,148,7.8,10,82,71,안전
2025_1Q,165329,26212,24.6,30~40대 주부,스낵/제과,종합 오픈마켓,16.3,220,22.0,81,89,95,주의
2025_2Q,141257,11442,16.8,1인 가구,음료/주류,B2B/기관 영업,5.0,274,18.9,7,92,79,주의
2025_3Q,192380,18806,33.8,30~40대 주부,뷰티/화장품,자사몰(온라인),23.3,158,16.1,46,91,66,주의
2025_4Q,157502,24356,7.7,20~30대 여성,스낵/제과,오프라인 매장,12.1,178,4.3,78,91,81,안전
