Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,80410,10333,9.6,10~30대 글로벌 팬덤,팬클럽 구독,자사몰(온라인),33.5,123,17.5,45,79,47,위험
2023_2Q,71275,8885,10.7,10~30대 글로벌 팬덤,팬클럽 구독,자사몰(온라인),25.1,175,13.2,73,87,84,안전
2023_3Q,100596,8515,11.7,10~30대 글로벌 팬덤,콘서트 티켓,자사몰(온라인),16.0,107,21.9,6,88,71,위험
2023_4Q,94004,22820,25.2,10~30대 글로벌 팬덤,팬클럽 구독,B2B/기관 영업,19.5,330,5.8,77,88,41,안전
2024_1Q,80874,4572,14.0,10~30대 글로벌 팬덤,콘서트 티켓,B2B/기관 영업,24.8,341,4.6,19,91,57,안전
2024_2Q,104315,12869,37.9,10~20대 여성,팬클럽 구독,자사몰(온라인),39.6,206,8.8,9,66,68,위험
2024_3Q,103891,7001,39.6,10~20대 여성,콘서트 티켓,자사몰(온라인),33.4,259,21.8,83,97,80,위험
2024_4Q,96667,20007,37.5,10~20대 여성,영상 콘텐츠(드라마),종합 오픈마켓,25.9,245,24.5,42,70,58,주의
2025_1Q,109967,16812,41.0,10~20대 여성,콘서트 티켓,B2B/기관 영업,37.2,144,18.1,21,77,55,위험
2025_2Q,86694,8627,38.7,10~30대 글로벌 팬덤,팬클럽 구독,자사몰(온라인),25.2,292,10.6,14,77,80,안전
2025_3Q,106146,13859,35.0,20~30대 직장인,영상 콘텐츠(드라마),B2B/기관 영업,38.3,81,22.0,16,80,86,위험
2025_4Q,109463,20738,39.0,20~30대 직장인,팬클럽 구독,자사몰(온라인),38.9,333,8.2,41,73,61,주의
