Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,191491,18617,19.5,전 연령층,구독형 솔루션,종합 오픈마켓,7.1,177,24.3,63,77,45,주의
2023_2Q,212020,35922,5.9,20~30대 직장인,모바일 게임,자사몰(온라인),32.5,115,21.1,75,73,53,위험
2023_3Q,229724,22191,36.0,전 연령층,클라우드 서비스,종합 오픈마켓,35.0,146,14.4,27,69,47,위험
2023_4Q,180182,9544,36.6,10~20대 학생,구독형 솔루션,오프라인 매장,11.1,144,19.1,72,63,47,위험
2024_1Q,223262,45903,25.5,10~20대 학생,광고 플랫폼,자사몰(온라인),38.1,346,8.9,8,62,43,위험
2024_2Q,271876,36772,9.3,전 연령층,광고 플랫폼,오프라인 매장,36.5,155,3.5,40,80,79,주의
2024_3Q,255046,29339,44.8,전 연령층,구독형 솔루션,B2B/기관 영업,22.7,130,20.2,19,87,94,주의
2024_4Q,293209,46991,39.6,20~30대 직장인,광고 플랫폼,자사몰(온라인),19.5,284,11.6,17,89,60,안전
2025_1Q,275858,34443,11.1,20~30대 직장인,클라우드 서비스,오프라인 매장,34.1,301,4.2,52,65,91,위험
2025_2Q,214558,51778,27.5,전 연령층,클라우드 서비스,B2B/기관 영업,17.4,106,24.3,81,87,59,위험
2025_3Q,258103,23886,31.3,10~20대 학생,클라우드 서비스,종합 오픈마켓,34.6,138,19.5,78,83,54,위험
2025_4Q,296484,72611,37.7,전 연령층,클라우드 서비스,종합 오픈마켓,6.0,238,23.2,49,77,40,주의
