Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,109460,19752,12.8,30~40대 주부,스낵/제과,자사몰(온라인),7.5,245,17.7,78,87,45,주의
2023_2Q,102898,12661,12.6,1인 가구,가정간편식(HMR),종합 오픈마켓,10.9,306,16.3,61,82,42,주의
2023_3Q,103138,19294,11.2,30~40대 주부,가정간편식(HMR),오프라인 매장,30.9,155,22.0,41,75,40,위험
2023_4Q,124580,13831,23.8,1인 가구,스낵/제과,자사몰(온라인),12.1,212,14.6,84,93,86,안전
2024_1Q,129879,23852,20.1,30~40대 주부,가정간편식(HMR),종합 오픈마켓,11.0,182,20.2,84,78,57,주의
2024_2Q,122677,6338,20.5,1인 가구,음료/주류,오프라인 매장,5.7,198,24.5,70,84,85,주의
2024_3Q,105132,23481,26.3,20~30대 여성,스낵/제과,B2B/기관 영업,24.6,100,7.7,72,61,59,위험
2024_4Q,107400,8742,18.9,1인 가구,음료/주류,종합 오픈마켓,13.3,221,20.7,85,92,56,주의
2025_1Q,134428,28629,6.2,30~40대 주부,음료/주류,자사몰(온라인),10.3,150,4.0,53,85,73,안전
2025_2Q,132393,23182,14.1,20~30대 여성,스낵/제과,B2B/기관 영업,39.0,248,12.3,21,98,53,주의
2025_3Q,135587,25328,13.1,20~30대 여성,음료/주류,자사몰(온라인),20.1,160,9.3,76,69,74,주의
2025_4Q,123157,13980,40.2,30~40대 주부,가정간편식(HMR),종합 오픈마켓,35.8,290,9.0,40,86,49,주의
