Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,40945,8502,40.8,10~20대 여성,앨범/굿즈,오프라인 매장,26.9,88,4.9,25,89,68,주의
2023_2Q,43083,5840,44.8,10~20대 여성,영상 콘텐츠(드라마),자사몰(온라인),35.6,127,17.1,37,77,45,위험
2023_3Q,41905,3482,20.9,10~30대 글로벌 팬덤,콘서트 티켓,B2B/기관 영업,27.9,80,6.9,14,66,48,위험
2023_4Q,38078,5293,5.3,10~30대 글로벌 팬덤,앨범/굿즈,B2B/기관 영업,29.3,116,7.3,16,90,86,주의
2024_1Q,34493,4260,17.0,10~30대 글로벌 팬덤,콘서트 티켓,자사몰(온라인),7.4,84,16.0,26,96,68,위험
2024_2Q,35832,7153,41.8,20~30대 직장인,팬클럽 구독,자사몰(온라인),8.0,151,19.3,80,66,86,위험
2024_3Q,46005,5193,10.6,10~30대 글로벌 팬덤,앨범/굿즈,자사몰(온라인),24.4,225,19.9,8,98,94,주의
2024_4Q,47512,4327,29.3,10~20대 여성,팬클럽 구독,종합 오픈마켓,27.6,333,10.9,35,75,71,안전
2025_1Q,37124,8454,5.5,10~30대 글로벌 팬덤,영상 콘텐츠(드라마),자사몰(온라인),18.5,295,10.4,27,96,88,안전
2025_2Q,51303,3314,28.5,10~20대 여성,영상 콘텐츠(드라마),자사몰(온라인),6.4,283,13.7,85,63,85,주의
2025_3Q,43359,8253,8.3,20~30대 직장인,콘서트 티켓,종합 오픈마켓,7.9,341,23.2,24,65,74,위험
2025_4Q,45620,9244,31.0,20~30대 직장인,앨범/굿즈,종합 오픈마켓,29.5,109,7.6,60,75,47,주의
