Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,13808,3150,10.9,30~50대 직장인,신용카드,자사몰(온라인),23.1,89,22.2,41,85,45,위험
2023_2Q,13937,2010,24.3,30~50대 직장인,투자/자산관리,자사몰(온라인),32.8,341,8.1,48,71,69,주의
2023_3Q,11783,1480,10.3,30~50대 직장인,주택담보대출,B2B/기관 영업,33.9,129,6.1,83,98,78,주의
2023_4Q,14476,2181,9.7,20~30대 청년층,주택담보대출,오프라인 매장,36.4,347,11.7,10,87,84,주의
2024_1Q,12203,2568,36.6,20~30대 청년층,신용카드,오프라인 매장,19.9,324,19.6,15,76,58,주의
2024_2Q,14025,1424,5.2,고자산가 그룹,예적금 상품,오프라인 매장,23.2,185,17.8,45,84,66,주의
2024_3Q,12153,2191,15.1,고자산가 그룹,투자/자산관리,종합 오픈마켓,26.4,184,11.5,76,85,70,안전
2024_4Q,13679,2007,44.5,고자산가 그룹,신용카드,B2B/기관 영업,30.8,197,12.3,25,67,46,위험
2025_1Q,12666,1490,27.0,고자산가 그룹,예적금 상품,자사몰(온라인),18.6,126,20.9,65,60,78,위험
2025_2Q,11233,1059,8.2,30~50대 직장인,투자/자산관리,B2B/기관 영업,26.5,226,18.4,81,93,43,주의
2025_3Q,15708,2796,22.6,30~50대 직장인,신용카드,자사몰(온라인),6.2,341,13.9,34,98,79,안전
2025_4Q,11583,1133,5.0,30~50대 직장인,예적금 상품,종합 오픈마켓,32.3,282,11.3,30,82,73,주의
