Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,92064,6972,8.9,40~60대 장년층,의료기기,종합 오픈마켓,31.4,340,11.2,10,72,42,주의
2023_2Q,90892,19159,25.8,50~70대 노년층,건강기능식품,종합 오픈마켓,37.6,163,11.0,83,80,87,주의
2023_3Q,92629,14029,25.4,40~60대 장년층,의료기기,B2B/기관 영업,33.6,249,17.5,58,83,77,위험
2023_4Q,100958,22656,30.2,의료기관,백신/치료제,종합 오픈마켓,38.8,196,18.6,79,97,70,위험
2024_1Q,90191,15688,38.6,50~70대 노년층,건강기능식품,오프라인 매장,25.0,177,2.4,45,67,66,주의
2024_2Q,89216,11783,36.0,40~60대 장년층,전문의약품,자사몰(온라인),23.2,246,25.0,66,95,73,주의
2024_3Q,96731,13729,26.3,의료기관,의료기기,종합 오픈마켓,26.4,206,8.4,43,72,54,안전
2024_4Q,104517,21346,33.2,의료기관,백신/치료제,종합 오픈마켓,21.8,220,8.6,78,95,83,안전
2025_1Q,103965,13401,18.8,50~70대 노년층,의료기기,오프라인 매장,15.1,257,23.3,37,65,87,위험
2025_2Q,83281,13134,42.3,의료기관,의료기기,자사몰(온라인),8.8,202,7.6,72,97,54,안전
2025_3Q,81131,10762,33.7,50~70대 노년층,건강기능식품,오프라인 매장,38.8,288,17.0,65,70,70,위험
2025_4Q,107733,11575,16.4,50~70대 노년층,전문의약품,자사몰(온라인),23.7,169,11.6,27,62,42,주의
