Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,46534,3167,44.1,전 연령층,클라우드 서비스,B2B/기관 영업,10.8,94,3.1,12,79,58,주의
2023_2Q,49923,4934,21.5,전 연령층,모바일 게임,자사몰(온라인),11.1,203,13.4,79,84,49,안전
2023_3Q,52480,7447,31.7,20~30대 직장인,구독형 솔루션,자사몰(온라인),7.6,233,16.7,59,82,84,주의
2023_4Q,55049,4945,20.4,20~30대 직장인,클라우드 서비스,자사몰(온라인),18.3,231,24.8,42,82,41,주의
2024_1Q,55906,5864,27.6,전 연령층,클라우드 서비스,B2B/기관 영업,34.1,197,16.0,50,78,54,위험
2024_2Q,57039,10583,33.8,전 연령층,모바일 게임,오프라인 매장,36.6,238,20.1,9,62,77,위험
2024_3Q,47760,11076,18.1,20~30대 직장인,모바일 게임,자사몰(온라인),9.6,267,14.2,39,94,93,안전
2024_4Q,60577,14468,43.7,20~30대 직장인,구독형 솔루션,오프라인 매장,21.4,152,19.3,33,64,95,위험
2025_1Q,58366,7557,38.8,전 연령층,구독형 솔루션,오프라인 매장,32.7,215,14.3,63,60,63,위험
2025_2Q,60511,10100,37.9,20~30대 직장인,클라우드 서비스,자사몰(온라인),21.5,247,23.1,33,95,81,주의
2025_3Q,60816,14101,17.1,20~30대 직장인,클라우드 서비스,자사몰(온라인),6.6,235,24.9,19,62,46,위험
2025_4Q,54381,6946,19.8,전 연령층,광고 플랫폼,자사몰(온라인),36.0,330,16.2,40,66,42,위험
