Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,37861,6054,34.0,고자산가 그룹,신용카드,종합 오픈마켓,38.7,195,15.9,29,77,69,위험
2023_2Q,36374,3718,21.3,30~50대 직장인,예적금 상품,종합 오픈마켓,16.9,342,24.0,73,67,92,위험
2023_3Q,34164,4733,20.1,20~30대 청년층,주택담보대출,종합 오픈마켓,38.6,315,22.6,8,89,70,위험
2023_4Q,30724,5429,44.8,고자산가 그룹,주택담보대출,종합 오픈마켓,19.4,344,14.3,38,82,55,안전
2024_1Q,34362,6864,18.7,고자산가 그룹,주택담보대출,B2B/기관 영업,16.0,217,6.2,29,73,71,안전
2024_2Q,33851,3331,15.6,30~50대 직장인,주택담보대출,자사몰(온라인),34.3,159,19.9,20,82,45,위험
2024_3Q,40785,7046,35.6,고자산가 그룹,예적금 상품,B2B/기관 영업,18.0,332,22.7,78,80,95,주의
2024_4Q,33954,6887,25.4,20~30대 청년층,주택담보대출,자사몰(온라인),6.9,324,23.6,9,87,72,주의
2025_1Q,42555,8731,23.3,30~50대 직장인,투자/자산관리,종합 오픈마켓,29.1,187,10.7,17,60,60,주의
2025_2Q,42446,3711,15.5,20~30대 청년층,투자/자산관리,종합 오픈마켓,17.8,297,6.8,52,91,63,안전
2025_3Q,37068,3187,10.2,고자산가 그룹,주택담보대출,오프라인 매장,30.2,301,21.7,30,75,49,위험
2025_4Q,45689,6606,5.4,20~30대 청년층,투자/자산관리,자사몰(온라인),39.8,241,20.1,43,93,56,위험
