Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,243090,15537,34.6,10~20대 학생,클라우드 서비스,자사몰(온라인),18.2,254,5.6,44,89,86,안전
2023_2Q,263387,44576,40.3,10~20대 학생,모바일 게임,오프라인 매장,28.6,306,17.2,67,77,78,주의
2023_3Q,212736,42757,9.6,20~30대 직장인,클라우드 서비스,종합 오픈마켓,28.7,329,14.1,44,97,42,안전
2023_4Q,263008,16032,13.2,10~20대 학생,모바일 게임,종합 오픈마켓,15.1,83,13.4,60,67,51,위험
2024_1Q,220609,21183,27.3,전 연령층,구독형 솔루션,오프라인 매장,18.9,303,2.4,14,62,95,주의
2024_2Q,210932,27607,30.6,20~30대 직장인,클라우드 서비스,B2B/기관 영업,5.7,167,20.4,84,80,69,주의
2024_3Q,261507,17684,38.8,10~20대 학생,광고 플랫폼,B2B/기관 영업,23.3,238,19.2,33,85,61,주의
2024_4Q,205671,36330,26.2,10~20대 학생,구독형 솔루션,종합 오픈마켓,30.5,200,4.4,37,69,52,위험
2025_1Q,206134,41604,8.0,전 연령층,광고 플랫폼,B2B/기관 영업,31.4,309,17.7,77,97,81,위험
2025_2Q,251742,56100,30.1,10~20대 학생,광고 플랫폼,오프라인 매장,21.4,220,15.6,50,79,72,주의
2025_3Q,228701,13155,19.7,20~30대 직장인,클라우드 서비스,오프라인 매장,26.5,276,12.6,75,92,90,안전
2025_4Q,204412,47384,27.9,10~20대 학생,구독형 솔루션,B2B/기관 영업,22.5,310,4.4,48,63,85,주의
