Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,372257,23302,26.6,정부 및 공공기관,태양광 패널,B2B/기관 영업,38.8,98,9.8,48,61,90,위험
2023_2Q,377386,34846,31.2,해외 수출시장,태양광 패널,자사몰(온라인),30.9,116,2.8,23,74,71,위험
2023_3Q,399650,93359,6.8,해외 수출시장,석유/정유,오프라인 매장,11.0,237,20.9,17,63,69,위험
2023_4Q,463087,29077,37.7,B2B 기업고객,태양광 패널,자사몰(온라인),7.2,298,9.8,56,72,60,안전
2024_1Q,426479,67885,17.9,B2B 기업고객,2차전지 배터리,자사몰(온라인),16.7,220,5.2,58,67,50,주의
2024_2Q,425128,58553,42.0,B2B 기업고객,석유/정유,오프라인 매장,32.7,160,2.4,67,84,45,주의
2024_3Q,353525,23978,31.1,정부 및 공공기관,태양광 패널,B2B/기관 영업,29.2,153,16.7,71,73,68,주의
2024_4Q,457993,78824,6.5,B2B 기업고객,태양광 패널,오프라인 매장,27.0,258,11.6,76,79,55,안전
2025_1Q,452953,111135,29.8,해외 수출시장,석유/정유,B2B/기관 영업,32.0,221,3.2,19,73,90,주의
2025_2Q,420728,97733,24.9,B2B 기업고객,2차전지 배터리,오프라인 매장,27.6,187,12.0,47,78,79,안전
2025_3Q,432152,25351,34.6,해외 수출시장,석유/정유,자사몰(온라인),32.5,343,4.7,35,91,86,주의
2025_4Q,411120,55013,34.9,정부 및 공공기관,석유/정유,오프라인 매장,16.4,201,19.0,30,66,64,위험
