Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,51301,10769,39.1,고자산가 그룹,투자/자산관리,오프라인 매장,15.2,208,4.3,79,64,71,주의
2023_2Q,58792,10832,14.4,20~30대 청년층,예적금 상품,자사몰(온라인),16.1,248,16.2,44,88,84,주의
2023_3Q,64829,7967,17.7,20~30대 청년층,주택담보대출,오프라인 매장,16.0,303,8.4,51,74,48,안전
2023_4Q,62054,9059,22.8,20~30대 청년층,투자/자산관리,오프라인 매장,11.2,121,21.4,22,98,74,주의
2024_1Q,69352,12159,34.1,30~50대 직장인,예적금 상품,B2B/기관 영업,31.9,98,14.7,74,73,74,위험
2024_2Q,71064,8752,13.9,고자산가 그룹,신용카드,자사몰(온라인),21.3,126,11.1,69,92,40,안전
2024_3Q,75305,15912,29.6,30~50대 직장인,주택담보대출,B2B/기관 영업,10.6,154,18.9,66,96,62,주의
2024_4Q,70035,6747,15.6,30~50대 직장인,예적금 상품,자사몰(온라인),23.1,278,12.8,63,83,42,안전
2025_1Q,64528,4558,43.7,고자산가 그룹,신용카드,종합 오픈마켓,25.3,169,10.7,53,96,63,안전
2025_2Q,71605,4694,15.1,30~50대 직장인,투자/자산관리,종합 오픈마켓,33.6,329,20.2,82,82,40,위험
2025_3Q,56105,4663,8.1,고자산가 그룹,신용카드,자사몰(온라인),10.3,265,15.8,20,70,82,주의
2025_4Q,69373,13461,24.3,20~30대 청년층,투자/자산관리,자사몰(온라인),25.7,91,7.6,21,86,76,주의
