Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,167839,23699,7.4,20~30대 직장인,팬클럽 구독,B2B/기관 영업,5.6,290,2.3,72,94,86,안전
2023_2Q,212859,11372,37.5,20~30대 직장인,팬클럽 구독,자사몰(온라인),8.7,348,5.4,29,66,79,주의
2023_3Q,206456,21360,20.9,10~30대 글로벌 팬덤,팬클럽 구독,B2B/기관 영업,24.8,233,17.7,15,74,81,주의
2023_4Q,211397,11909,21.2,10~30대 글로벌 팬덤,팬클럽 구독,오프라인 매장,27.3,122,13.5,60,70,81,안전
2024_1Q,216312,47933,8.8,20~30대 직장인,앨범/굿즈,자사몰(온라인),12.4,323,8.2,14,96,83,안전
2024_2Q,257305,41864,6.3,10~30대 글로벌 팬덤,앨범/굿즈,자사몰(온라인),25.5,119,8.9,77,85,55,주의
2024_3Q,259449,48103,26.6,10~30대 글로벌 팬덤,콘서트 티켓,오프라인 매장,22.5,107,4.2,34,82,93,주의
2024_4Q,230481,39820,28.8,10~30대 글로벌 팬덤,앨범/굿즈,종합 오픈마켓,32.4,331,7.2,75,88,64,주의
2025_1Q,237592,43273,8.4,20~30대 직장인,영상 콘텐츠(드라마),자사몰(온라인),30.0,217,5.5,24,65,87,위험
2025_2Q,213347,14572,42.7,10~30대 글로벌 팬덤,영상 콘텐츠(드라마),종합 오픈마켓,8.6,175,11.9,76,65,75,주의
2025_3Q,196876,13372,27.2,20~30대 직장인,영상 콘텐츠(드라마),B2B/기관 영업,5.4,278,19.9,76,86,55,주의
2025_4Q,206950,26105,10.6,10~30대 글로벌 팬덤,영상 콘텐츠(드라마),B2B/기관 영업,10.1,302,8.3,43,70,70,안전
