Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,330929,78536,43.5,40~60대 장년층,전문의약품,오프라인 매장,15.4,134,23.4,47,98,58,주의
2023_2Q,350595,54294,40.6,50~70대 노년층,백신/치료제,종합 오픈마켓,11.7,249,5.7,63,67,81,주의
2023_3Q,293674,57948,36.6,의료기관,건강기능식품,자사몰(온라인),26.4,298,13.9,16,85,65,안전
2023_4Q,304375,23778,17.9,50~70대 노년층,전문의약품,종합 오픈마켓,18.4,216,23.9,43,88,77,주의
2024_1Q,296683,53621,32.7,50~70대 노년층,전문의약품,B2B/기관 영업,15.7,337,23.2,44,85,84,주의
2024_2Q,392558,42791,29.6,50~70대 노년층,건강기능식품,B2B/기관 영업,10.4,271,11.6,75,98,70,안전
2024_3Q,397534,85517,35.5,의료기관,전문의약품,B2B/기관 영업,23.5,119,23.1,19,83,43,위험
2024_4Q,433619,39212,26.5,50~70대 노년층,의료기기,B2B/기관 영업,9.1,330,4.1,70,73,68,안전
2025_1Q,395798,60418,23.3,50~70대 노년층,백신/치료제,종합 오픈마켓,30.3,210,20.8,32,85,77,위험
2025_2Q,375847,71439,26.6,50~70대 노년층,전문의약품,B2B/기관 영업,6.1,172,19.7,58,86,63,주의
2025_3Q,399705,89503,41.3,40~60대 장년층,전문의약품,자사몰(온라인),27.9,140,6.1,73,82,65,안전
2025_4Q,457229,43225,5.1,50~70대 노년층,의료기기,B2B/기관 영업,28.6,297,14.2,34,94,55,안전
