Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,5950,1047,17.0,40~60대 가족단위,친환경 전기차,종합 오픈마켓,26.8,294,21.1,18,68,72,위험
2023_2Q,5061,368,9.3,30~50대 남성,SUV/레저용,종합 오픈마켓,34.1,263,18.2,42,72,50,위험
2023_3Q,5552,508,42.3,20~30대 사회초년생,SUV/레저용,오프라인 매장,5.4,136,21.2,68,65,49,위험
2023_4Q,6537,424,33.9,20~30대 사회초년생,SUV/레저용,B2B/기관 영업,39.6,215,12.7,17,78,92,주의
2024_1Q,4891,528,37.1,20~30대 사회초년생,차량용 부품,오프라인 매장,8.3,84,21.6,26,62,61,위험
2024_2Q,5661,987,40.1,30~50대 남성,세단,종합 오픈마켓,11.4,284,24.1,39,85,93,주의
2024_3Q,6476,1359,31.0,30~50대 남성,친환경 전기차,자사몰(온라인),29.4,161,4.4,80,63,70,주의
2024_4Q,6469,557,20.2,20~30대 사회초년생,친환경 전기차,자사몰(온라인),21.9,137,22.4,61,91,42,주의
2025_1Q,6151,322,39.7,40~60대 가족단위,SUV/레저용,종합 오픈마켓,23.2,301,17.2,36,66,70,위험
2025_2Q,6162,782,38.6,40~60대 가족단위,친환경 전기차,오프라인 매장,27.5,338,21.5,68,70,95,주의
2025_3Q,6131,699,18.2,20~30대 사회초년생,친환경 전기차,자사몰(온라인),24.3,286,20.8,15,84,69,주의
2025_4Q,5831,394,24.9,20~30대 사회초년생,친환경 전기차,B2B/기관 영업,31.1,132,11.3,9,61,75,위험
