Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,40412,7545,20.6,정부 및 공공기관,석유/정유,B2B/기관 영업,5.4,275,17.6,72,88,83,주의
2023_2Q,41190,6436,19.2,정부 및 공공기관,친환경 플라스틱,종합 오픈마켓,14.5,210,17.0,55,66,69,위험
2023_3Q,54434,10716,28.5,B2B 기업고객,친환경 플라스틱,자사몰(온라인),16.0,84,21.1,6,60,66,위험
2023_4Q,41763,5812,13.8,정부 및 공공기관,친환경 플라스틱,자사몰(온라인),6.2,109,23.6,32,65,78,위험
2024_1Q,53431,3953,39.3,B2B 기업고객,태양광 패널,자사몰(온라인),36.4,209,8.8,14,71,80,주의
2024_2Q,58844,11996,32.7,해외 수출시장,친환경 플라스틱,종합 오픈마켓,10.7,221,19.9,53,64,64,위험
2024_3Q,42482,10243,15.6,정부 및 공공기관,2차전지 배터리,B2B/기관 영업,39.3,281,6.1,67,72,46,주의
2024_4Q,52870,4952,30.7,정부 및 공공기관,친환경 플라스틱,오프라인 매장,6.2,208,19.9,7,64,71,위험
2025_1Q,49191,11637,31.6,정부 및 공공기관,석유/정유,종합 오픈마켓,36.7,81,13.9,67,96,70,위험
2025_2Q,52807,10888,36.4,해외 수출시장,석유/정유,오프라인 매장,18.5,142,15.0,50,90,61,주의
2025_3Q,47415,8366,43.4,B2B 기업고객,친환경 플라스틱,종합 오픈마켓,7.8,228,16.9,27,89,75,주의
2025_4Q,45023,3971,32.8,B2B 기업고객,친환경 플라스틱,B2B/기관 영업,8.0,177,5.2,29,88,41,안전
