Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,221678,54899,22.4,40~60대 가족단위,SUV/레저용,종합 오픈마켓,16.2,124,10.9,55,64,75,주의
2023_2Q,208639,29549,39.9,40~60대 가족단위,차량용 부품,오프라인 매장,19.5,131,23.3,77,69,89,위험
2023_3Q,201680,31689,18.8,20~30대 사회초년생,세단,B2B/기관 영업,27.9,322,2.9,40,96,65,안전
2023_4Q,218582,41253,6.6,20~30대 사회초년생,SUV/레저용,오프라인 매장,31.1,270,2.5,43,77,59,주의
2024_1Q,207309,39230,8.9,30~50대 남성,SUV/레저용,종합 오픈마켓,39.1,244,8.2,58,88,78,주의
2024_2Q,192051,17722,38.0,40~60대 가족단위,차량용 부품,종합 오픈마켓,33.7,161,3.5,69,92,65,주의
2024_3Q,232949,52615,6.2,30~50대 남성,SUV/레저용,오프라인 매장,13.7,105,23.1,30,89,57,위험
2024_4Q,205022,26527,41.9,40~60대 가족단위,친환경 전기차,자사몰(온라인),18.0,308,6.1,65,98,77,안전
2025_1Q,200778,43675,15.3,40~60대 가족단위,친환경 전기차,종합 오픈마켓,6.0,163,21.6,32,63,94,위험
2025_2Q,188073,17179,31.1,40~60대 가족단위,친환경 전기차,오프라인 매장,21.6,168,15.8,6,68,54,위험
2025_3Q,225237,25022,43.7,40~60대 가족단위,세단,B2B/기관 영업,36.3,315,7.8,64,82,59,주의
2025_4Q,235194,30441,9.1,40~60대 가족단위,세단,종합 오픈마켓,15.4,326,3.5,40,66,80,주의
