Year_Quarter,매출액(억원),영업이익(억원),시장점유율(%),주요 타겟층,주력 판매 제품,주요 판매 채널,재고율(%),ROAS(%),고객 이탈률(%),해외매출비중(%),고객 만족도(점),ESG 평판(점),마케팅_위기_등급
string,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,discrete
meta,,,,,,,,,,,,,class
2023_1Q,271427,60070,10.9,40~60대 가족단위,SUV/레저용,종합 오픈마켓,18.9,233,8.0,27,63,41,주의
2023_2Q,361964,58345,27.0,30~50대 남성,차량용 부품,오프라인 매장,33.1,142,2.3,33,68,48,위험
2023_3Q,304347,56991,42.5,30~50대 남성,세단,오프라인 매장,5.8,181,22.8,61,64,91,위험
2023_4Q,346691,74840,18.3,30~50대 남성,차량용 부품,오프라인 매장,10.9,301,20.9,55,96,71,주의
2024_1Q,308677,26102,13.6,30~50대 남성,세단,종합 오픈마켓,20.6,97,16.1,83,69,55,위험
2024_2Q,300308,68036,24.2,30~50대 남성,세단,B2B/기관 영업,9.8,349,7.7,74,72,90,안전
2024_3Q,274681,52923,24.2,20~30대 사회초년생,세단,종합 오픈마켓,18.6,93,9.3,33,71,41,주의
2024_4Q,334204,20626,44.7,40~60대 가족단위,세단,자사몰(온라인),39.1,206,17.1,39,66,74,위험
2025_1Q,368225,22528,44.9,30~50대 남성,차량용 부품,종합 오픈마켓,37.7,170,7.4,45,71,91,주의
2025_2Q,320858,54004,33.1,20~30대 사회초년생,SUV/레저용,자사몰(온라인),34.3,238,6.0,9,91,45,주의
2025_3Q,333922,18026,24.1,20~30대 사회초년생,SUV/레저용,자사몰(온라인),16.9,245,3.4,23,71,77,안전
2025_4Q,295014,21295,26.1,20~30대 사회초년생,친환경 전기차,종합 오픈마켓,29.7,131,9.7,46,85,48,안전
